product,price,final_price
Good Life Rajma Red 500 gm,Rs. 72.00,Rs. 64.00
Good Life Dal Mix 500 gm,Rs. 75.00,Rs. 65.00
Mega Choice Fresh & Pure Dhuli Moong Dal 500 gm,Rs. 90.00,Rs. 85.50
Mega Choice Fresh & Pure Chilka Moong Dal 500 gm,Rs. 85.00,Rs. 80.75
Mega Choice Fresh & Pure Kabuli Chana 500 gm,Rs. 65.00,Rs. 61.75
Good Life Raw Peanuts 1 kg,Rs. 180.00,Rs. 160.00
Mega Choice Fresh & Pure Desi Chana 500 gm,Rs. 48.00,Rs. 45.60
Good Life Toor Dal 1 kg,Rs. 137.00,Rs. 114.00
Mega Choice Fresh & Pure Split Urad Dal 500 gm,Rs. 67.00,Rs. 63.65
Mega Choice Fresh & Pure Chitra Rajma 500 gm,Rs. 70.00,Rs. 66.50
Mega Choice Fresh & Pure Whole Moong 500 gm,Rs. 89.00,Rs. 84.55
Mega Choice Fresh & Pure Regular Toor Dal 500 gm,Rs. 64.00,Rs. 60.80
Good Life Urad Dal Chhilka 500 gm,Rs. 79.00,Rs. 69.00
Mega Choice Fresh & Pure Regular Toor Dal 1 kg,Rs. 135.00,Rs. 128.25
Good Life Roasted Skin Bengal Gram 500 gm,Rs. 110.00,Rs. 55.00
Tata Sampann High Protein Unpolished Toor Dal 500 gm,Rs. 76.00,Rs. 72.20
Good Life Kabuli Chana 1 kg,Rs. 112.00,Rs. 95.00
Tata Sampann High Protein Unpolished Toor Dal 1 kg,Rs. 149.00,Rs. 129.00
Mega Choice Fresh & Pure Raw Peanut 500 gm,Rs. 85.00,Rs. 80.75
Tata Sampann High Protein Unpolished Whole Urad 1 kg,Rs. 200.00,Rs. 190.00
